1	 10	 oui	6.3e-08	  1.66e-07	  9.23e-07
2	 136	 oui	1.71e-07	  2.07e-07	  4.2e-07
3	 2080	 oui	4.12e-07	  5e-07	  1.37e-05
4	 32896	 oui	8.17e-07	  1.12e-06	  0.00104
5	 524800	 oui	1.48e-06	  1.88e-06	  0.000775
6	 8390656	 oui	2.41e-06	  3.05e-06	  0.000984
7	 35703421	 non	3.78e-06	  5.04e-06	  0.0366
8	 24814744	 non	5.57e-06	  7.25e-06	  0.00105
9	 17736821	 non	7.83e-06	  1.01e-05	  0.0358
10	 13413028	 non	1.05e-05	  1.34e-05	  0.000906
20	 1890754	 non	7.95e-05	  9.52e-05	  0.000903
30	 579466	 non	0.000264	  0.000311	  0.00139
40	 247800	 non	0.000626	  0.000726	  0.00184
50	 127889	 non	0.00124	  0.00141	  0.00252
60	 74303	 non	0.00216	  0.00242	  0.00354
70	 46928	 non	0.00346	  0.00384	  0.00479
80	 31509	 non	0.0052	  0.00571	  0.00681
90	 22144	 non	0.00786	  0.00813	  0.00928
100	 16168	 non	0.0107	  0.0111	  0.0122
200	 2028	 non	0.0873	  0.0887	  0.0917
300	 602	 non	0.295	  0.299	  0.307
400	 254	 non	0.7	  0.708	  0.725
500	 130	 non	1.37	  1.38	  1.41
600	 74	 non	2.4	  2.42	  2.45
700	 47	 non	3.76	  3.78	  3.83
800	 31	 non	5.62	  5.65	  5.68
900	 22	 non	8	  8.04	  8.1
1000	 16	 non	11	  11	  11.1
1500	 4	 non	37.1	  37.2	  37.2
2000	 2	 non	88.1	  88.2	  88.3
2500	 1	 non	172	  172	  172
3000	 1	 non	297	  297	  297

